Project Organization,Month Year,Total IC Amount
AVP for Economic Development Office,2024-10,2188.26
Academic Technology Services,2022-08,77.84
Accounting & Finance,2022-03,211.64
Accounting & Finance,2022-04,21.9
Accounting & Finance,2022-05,519.72
Accounting & Finance,2022-06,8307.14
Accounting & Finance,2022-07,631.8
Accounting & Finance,2022-08,77.66
Accounting & Finance,2022-09,537.03
Accounting & Finance,2022-10,1043.54
Accounting & Finance,2022-11,243.75
Accounting & Finance,2022-12,514.14
Accounting & Finance,2023-05,2373.37
Accounting & Finance,2023-06,148.2
Accounting & Finance,2023-07,13539.58
Accounting & Finance,2023-08,695.3
Accounting & Finance,2023-09,1764.39
Accounting & Finance,2023-10,1491.81
Accounting & Finance,2023-11,9450.89
Accounting & Finance,2023-12,6058.28
Accounting & Finance,2024-01,26.99
Accounting & Finance,2024-02,4415.64
Accounting & Finance,2024-03,410.32
Accounting & Finance,2024-04,458.82
Accounting & Finance,2024-05,14532.31
Accounting & Finance,2024-06,1028.34
Accounting & Finance,2024-07,35.88
Accounting & Finance,2024-08,583.29
Accounting & Finance,2024-09,9.67
Accounting & Finance,2024-10,338.42
Accounting & Finance,2024-11,8180.27
Accounting & Finance,2024-12,14777.61
Accounting & Finance,2025-01,29.34
Accounting & Finance,2025-02,120.62
Accounting & Finance,2025-03,353.39
Accounting & Finance,2025-04,410.08
Accounting & Finance,2025-05,61.42
Agricultural Experiment Station,2014-09,9.1
Agricultural Experiment Station,2014-10,36.38
Agricultural Experiment Station,2015-05,371.36
Agricultural Experiment Station,2015-06,534.11
Agricultural Experiment Station,2015-07,1325.28
Agricultural Experiment Station,2015-08,385.92
Agricultural Experiment Station,2015-09,1686.34
Agricultural Experiment Station,2015-11,3357.6
Agricultural Experiment Station,2015-12,2315.91
Agricultural Experiment Station,2016-01,-5646.51
Agricultural Experiment Station,2016-02,893.53
Agricultural Experiment Station,2016-03,893.83
Agricultural Experiment Station,2016-04,893.8
Agricultural Experiment Station,2016-05,893.59
Agricultural Experiment Station,2016-06,1307.1
Agricultural Experiment Station,2016-07,895.43
Agricultural Experiment Station,2016-08,1156.97
Agricultural Experiment Station,2016-09,1203.84
Agricultural Experiment Station,2016-10,1458.94
Agricultural Experiment Station,2016-11,1521.39
Agricultural Experiment Station,2016-12,1215.49
Agricultural Experiment Station,2017-01,1154.24
Agricultural Experiment Station,2017-02,1154.23
Agricultural Experiment Station,2017-03,1177.02
Agricultural Experiment Station,2017-04,1153.7
Agricultural Experiment Station,2017-05,1242.77
Agricultural Experiment Station,2017-06,1777.93
Agricultural Experiment Station,2017-07,1.94
Agricultural Experiment Station,2017-08,8.44
Agricultural Experiment Station,2017-09,8.44
Agricultural Experiment Station,2017-10,8.44
Agricultural Experiment Station,2017-11,8.44
Agricultural Experiment Station,2017-12,8.44
Agricultural Experiment Station,2018-01,368.94
Agricultural Experiment Station,2018-02,8.44
Agricultural Experiment Station,2018-03,126.46
Agricultural Experiment Station,2018-04,249.95
Agricultural Experiment Station,2018-05,562.13
Agricultural Experiment Station,2018-06,8.44
Agricultural Experiment Station,2018-07,21.54
Agricultural Experiment Station,2018-08,8.44
Agricultural Experiment Station,2019-08,20.16
Agricultural Experiment Station,2019-09,137.08
Agricultural Experiment Station,2019-12,1384.17
Agricultural Experiment Station,2020-03,5
Agricultural Experiment Station,2020-07,199.81
Agricultural Experiment Station,2022-10,97.99
Agricultural Experiment Station,2022-12,92.5
Agricultural Experiment Station,2023-03,20.4
Agricultural Experiment Station,2023-04,4.29
Agricultural Experiment Station,2023-05,66.64
Agricultural Experiment Station,2023-06,9.92
Agricultural Experiment Station,2023-07,14.44
Agricultural Experiment Station,2023-08,1.84
Agricultural Experiment Station,2023-11,2.58
Agricultural Experiment Station,2023-12,15.93
Agricultural Experiment Station,2024-01,57.03
Agricultural Experiment Station,2024-02,67.76
Agriculture & Applied Economics,2007-01,69.9
Agriculture & Applied Economics,2007-02,836.8
Agriculture & Applied Economics,2007-03,1536.13
Agriculture & Applied Economics,2007-04,779.87
Agriculture & Applied Economics,2007-05,682.41
Agriculture & Applied Economics,2007-06,682.41
Agriculture & Applied Economics,2007-07,876.75
Agriculture & Applied Economics,2007-08,800.93
Agriculture & Applied Economics,2007-09,514.25
Agriculture & Applied Economics,2007-10,199.99
Agriculture & Applied Economics,2008-01,482.78
Agriculture & Applied Economics,2008-02,298
Agriculture & Applied Economics,2010-10,8
Agriculture & Applied Economics,2010-12,-3601.56
Agriculture & Applied Economics,2015-05,81
Agriculture & Applied Economics,2015-06,1548.12
Agriculture & Applied Economics,2015-07,55.7
Agriculture & Applied Economics,2015-08,2997.14
Agriculture & Applied Economics,2015-09,565.46
Agriculture & Applied Economics,2015-10,1938.5
Agriculture & Applied Economics,2015-11,604.71
Agriculture & Applied Economics,2015-12,1031.19
Agriculture & Applied Economics,2016-01,1588.53
Agriculture & Applied Economics,2016-02,1636.29
Agriculture & Applied Economics,2016-03,679.5
Agriculture & Applied Economics,2016-04,868.37
Agriculture & Applied Economics,2016-05,6506.82
Agriculture & Applied Economics,2016-06,11111.91
Agriculture & Applied Economics,2016-07,3972.65
Agriculture & Applied Economics,2016-08,1485.95
Agriculture & Applied Economics,2016-09,558.15
Agriculture & Applied Economics,2016-10,774.23
Agriculture & Applied Economics,2016-11,-479.95
Agriculture & Applied Economics,2016-12,947.07
Agriculture & Applied Economics,2017-01,1525.16
Agriculture & Applied Economics,2017-02,8752
Agriculture & Applied Economics,2017-03,17177.55
Agriculture & Applied Economics,2017-04,15158.44
Agriculture & Applied Economics,2017-05,30094.95
Agriculture & Applied Economics,2017-06,38780.26
Agriculture & Applied Economics,2017-07,25504.7
Agriculture & Applied Economics,2017-08,10992.19
Agriculture & Applied Economics,2017-09,17591.28
Agriculture & Applied Economics,2017-10,10422.79
Agriculture & Applied Economics,2017-11,10520.14
Agriculture & Applied Economics,2017-12,14054.03
Agriculture & Applied Economics,2018-01,10097.77
Agriculture & Applied Economics,2018-02,9754.81
Agriculture & Applied Economics,2018-03,11081.06
Agriculture & Applied Economics,2018-04,13591.67
Agriculture & Applied Economics,2018-05,26398.01
Agriculture & Applied Economics,2018-06,27640.2
Agriculture & Applied Economics,2018-07,20334.07
Agriculture & Applied Economics,2018-08,6392.68
Agriculture & Applied Economics,2018-09,20208.01
Agriculture & Applied Economics,2018-10,8868.6
Agriculture & Applied Economics,2018-11,8798.11
Agriculture & Applied Economics,2018-12,15770.96
Agriculture & Applied Economics,2019-01,7960.27
Agriculture & Applied Economics,2019-02,12110.83
Agriculture & Applied Economics,2019-03,11043.08
Agriculture & Applied Economics,2019-04,12938.03
Agriculture & Applied Economics,2019-05,18351.81
Agriculture & Applied Economics,2019-06,27975.57
Agriculture & Applied Economics,2019-07,14128.04
Agriculture & Applied Economics,2019-08,13219.13
Agriculture & Applied Economics,2019-09,23596.09
Agriculture & Applied Economics,2019-10,11125.12
Agriculture & Applied Economics,2019-11,11354.49
Agriculture & Applied Economics,2019-12,10658.73
Agriculture & Applied Economics,2020-01,11788.28
Agriculture & Applied Economics,2020-02,12932.13
Agriculture & Applied Economics,2020-03,8545.11
Agriculture & Applied Economics,2020-04,10895.59
Agriculture & Applied Economics,2020-05,9699.02
Agriculture & Applied Economics,2020-06,9859.26
Agriculture & Applied Economics,2020-07,11150.89
Agriculture & Applied Economics,2020-08,7050.89
Agriculture & Applied Economics,2020-09,8012.93
Agriculture & Applied Economics,2020-10,6761.6
Agriculture & Applied Economics,2020-11,6947.05
Agriculture & Applied Economics,2020-12,5075.91
Agriculture & Applied Economics,2021-01,4415.72
Agriculture & Applied Economics,2021-02,1066.47
Agriculture & Applied Economics,2021-03,5436.07
Agriculture & Applied Economics,2021-04,5941.38
Agriculture & Applied Economics,2021-05,5460.43
Agriculture & Applied Economics,2021-06,7630.57
Agriculture & Applied Economics,2021-07,1402.36
Agriculture & Applied Economics,2021-08,1937.45
Agriculture & Applied Economics,2021-09,7198.76
Agriculture & Applied Economics,2021-10,1259.79
Agriculture & Applied Economics,2021-11,6391.92
Agriculture & Applied Economics,2021-12,320.97
Agriculture & Applied Economics,2022-01,1222.67
Agriculture & Applied Economics,2022-02,1777.62
Agriculture & Applied Economics,2022-03,2601.86
Agriculture & Applied Economics,2022-04,1584.06
Agriculture & Applied Economics,2022-05,7456.99
Agriculture & Applied Economics,2022-06,1132.05
Agriculture & Applied Economics,2022-07,1581.55
Agriculture & Applied Economics,2022-08,1001.38
Agriculture & Applied Economics,2022-09,22795.36
Agriculture & Applied Economics,2022-10,1839.65
Agriculture & Applied Economics,2022-11,1402.59
Agriculture & Applied Economics,2022-12,707.39
Agriculture & Applied Economics,2023-01,983.8
Agriculture & Applied Economics,2023-02,855.87
Agriculture & Applied Economics,2023-03,1107.12
Agriculture & Applied Economics,2023-04,873.48
Agriculture & Applied Economics,2023-05,587.93
Agriculture & Applied Economics,2023-06,9988.57
Agriculture & Applied Economics,2023-07,3832.51
Agriculture & Applied Economics,2023-08,8175.05
Agriculture & Applied Economics,2023-09,1420.95
Agriculture & Applied Economics,2023-10,3020.64
Agriculture & Applied Economics,2023-11,812.08
Agriculture & Applied Economics,2023-12,983.69
Agriculture & Applied Economics,2024-01,3000.84
Agriculture & Applied Economics,2024-02,4551.56
Agriculture & Applied Economics,2024-03,4883.61
Agriculture & Applied Economics,2024-04,7525.95
Agriculture & Applied Economics,2024-05,3528.41
Agriculture & Applied Economics,2024-06,2601.46
Agriculture & Applied Economics,2024-07,20392.98
Agriculture & Applied Economics,2024-08,23894.08
Agriculture & Applied Economics,2024-09,11278.73
Agriculture & Applied Economics,2024-10,1190.05
Agriculture & Applied Economics,2024-11,1958.76
Agriculture & Applied Economics,2024-12,1998.8
Agriculture & Applied Economics,2025-01,1195.04
Agriculture & Applied Economics,2025-02,1010.74
Agriculture & Applied Economics,2025-03,1081.92
Agriculture & Applied Economics,2025-04,-6150.89
Agriculture & Applied Economics,2025-05,7278.4
Albany Community Health Clinic,2019-04,135.7
Albany Community Health Clinic,2019-07,13997.4
Albany Community Health Clinic,2019-08,16313.8
Albany Community Health Clinic,2019-09,11163.24
Albany Community Health Clinic,2019-10,20373.76
Albany Community Health Clinic,2019-11,11245.86
Albany Community Health Clinic,2019-12,10588.26
Albany Community Health Clinic,2020-01,13520.61
Albany Community Health Clinic,2020-02,10586.35
Albany Community Health Clinic,2020-03,11498.4
Albany Community Health Clinic,2020-04,16928.27
Albany Community Health Clinic,2020-05,21708.73
Albany Community Health Clinic,2020-06,11555.92
Albany Community Health Clinic,2020-07,14054.38
Albany Community Health Clinic,2020-08,52505.81
Albany Community Health Clinic,2020-09,18533.59
Albany Community Health Clinic,2020-10,20857.5
Albany Community Health Clinic,2020-11,18113.08
Albany Community Health Clinic,2020-12,17504.5
Albany Community Health Clinic,2021-01,19216.76
Albany Community Health Clinic,2021-02,19334.11
Albany Community Health Clinic,2021-03,26803.38
Albany Community Health Clinic,2021-04,18634.08
Albany Community Health Clinic,2021-05,16579.66
Albany Community Health Clinic,2021-06,20166.82
Albany Community Health Clinic,2021-07,21018.52
Albany Community Health Clinic,2021-08,18604.76
Albany Community Health Clinic,2021-09,18212.48
Albany Community Health Clinic,2021-10,18642.8
Albany Community Health Clinic,2021-11,15506.54
Albany Community Health Clinic,2021-12,15542.79
Albany Community Health Clinic,2022-01,12514.8
Albany Community Health Clinic,2022-02,16055.49
Albany Community Health Clinic,2022-03,16901.78
Albany Community Health Clinic,2022-04,20015.68
Albany Community Health Clinic,2022-05,18134.42
Albany Community Health Clinic,2022-06,17457.97
Albany Community Health Clinic,2022-07,18518.45
Albany Community Health Clinic,2022-08,18383.92
Albany Community Health Clinic,2022-09,22443.14
Albany Community Health Clinic,2022-10,21335.67
Albany Community Health Clinic,2022-11,20383.77
Albany Community Health Clinic,2022-12,20793.98
Albany Community Health Clinic,2023-01,20187.3
Albany Community Health Clinic,2023-02,21505.45
Albany Community Health Clinic,2023-03,17786.03
Albany Community Health Clinic,2023-04,18906.06
Albany Community Health Clinic,2023-05,19878.03
Albany Community Health Clinic,2023-06,16263.12
Albany Community Health Clinic,2023-07,15023.48
Albany Community Health Clinic,2023-08,14506
Albany Community Health Clinic,2023-09,10523.46
Albany Community Health Clinic,2023-10,10889.24
Albany Community Health Clinic,2023-11,12854.07
Albany Community Health Clinic,2023-12,12742.2
Albany Community Health Clinic,2024-01,13113.02
Albany Community Health Clinic,2024-02,12742.2
Albany Community Health Clinic,2024-03,12516.52
Albany Community Health Clinic,2024-04,12879.78
Albany Community Health Clinic,2024-05,12925.12
Albany Community Health Clinic,2024-06,11701.49
Albany Community Health Clinic,2024-07,10725.61
Albany Community Health Clinic,2024-08,10855.27
Albany Community Health Clinic,2024-09,10731.18
Albany Community Health Clinic,2024-10,10692.25
Albany Community Health Clinic,2024-11,14537.38
Albany Community Health Clinic,2024-12,14509.28
Albany Community Health Clinic,2025-01,14576.01
Albany Community Health Clinic,2025-02,14572.5
Albany Community Health Clinic,2025-03,2273.1
Albany Community Health Clinic,2025-04,0
American Heritage Center,2016-12,412.61
American Heritage Center,2017-01,1114.02
American Heritage Center,2017-02,2330.98
American Heritage Center,2017-03,4479.58
American Heritage Center,2017-04,62.73
American Heritage Center,2017-05,1020
American Heritage Center,2017-06,339.99
American Heritage Center,2017-10,155
American Heritage Center,2017-11,130.73
American Heritage Center,2018-01,1748.8
American Heritage Center,2018-02,2264.91
American Heritage Center,2018-03,3405.18
American Heritage Center,2018-04,87.03
American Heritage Center,2018-05,-6585.04
American Heritage Center,2018-06,1127.17
American Heritage Center,2020-10,82.86
American Heritage Center,2020-11,1036.18
American Heritage Center,2020-12,2314.84
American Heritage Center,2021-01,1543.01
American Heritage Center,2021-02,1788.89
American Heritage Center,2021-03,608.16
American Heritage Center,2021-04,1145.32
American Heritage Center,2021-05,1218.31
American Heritage Center,2021-06,1255.5
American Heritage Center,2021-07,728.99
American Heritage Center,2021-08,815.41
American Heritage Center,2021-09,1720.58
American Heritage Center,2021-10,867.67
American Heritage Center,2021-11,721.13
American Heritage Center,2021-12,3787.82
American Heritage Center,2022-01,1706.21
American Heritage Center,2022-02,1505.38
American Heritage Center,2022-03,1551.18
American Heritage Center,2022-04,1947.28
American Heritage Center,2022-05,887.96
American Heritage Center,2022-06,3123.73
American Heritage Center,2022-07,1138.72
American Heritage Center,2022-08,2050.48
American Heritage Center,2022-09,2092.83
American Heritage Center,2022-10,5.33E-15
American Heritage Center,2022-11,0
Animal Science,2007-09,783.44
Animal Science,2007-10,3.03
Animal Science,2007-11,180.23
Animal Science,2007-12,13.33
Animal Science,2008-01,0.45
Animal Science,2008-02,147.59
Animal Science,2008-03,4.82
Animal Science,2008-04,99.22
Animal Science,2008-05,8.05
Animal Science,2008-06,20.3
Animal Science,2008-09,3.27
Animal Science,2009-06,31.96
Animal Science,2009-09,49.49
Animal Science,2009-10,14.87
Animal Science,2009-11,15.69
Animal Science,2009-12,18.33
Animal Science,2010-01,11.54
Animal Science,2010-05,21.94
Animal Science,2010-06,-21.94
Animal Science,2011-05,1.9
Animal Science,2011-08,3.64
Animal Science,2012-02,2.72
Animal Science,2012-03,6.15
Animal Science,2012-04,5.73
Animal Science,2012-05,25.06
Animal Science,2012-06,-2.99
Animal Science,2012-07,2.72
Animal Science,2012-08,0.71
Animal Science,2012-09,1.26
Animal Science,2013-02,7.18
Animal Science,2013-03,6.48
Animal Science,2013-04,10.83
Animal Science,2013-05,15.49
Animal Science,2013-09,2.75
Animal Science,2013-10,37.03
Animal Science,2013-11,4.47
Animal Science,2013-12,2.27
Animal Science,2014-06,7.51
Animal Science,2014-08,0.97
Animal Science,2014-10,12.46
Animal Science,2015-06,170.95
Animal Science,2015-08,41.6
Animal Science,2015-09,9.1
Animal Science,2015-12,23304.38
Animal Science,2016-01,2595.72
Animal Science,2016-02,7084.6
Animal Science,2016-03,29792.2
Animal Science,2016-04,50713.45
Animal Science,2016-05,28563.23
Animal Science,2016-06,35775.97
Animal Science,2016-07,31799.05
Animal Science,2016-08,39755.74
Animal Science,2016-09,27120.69
Animal Science,2016-10,38902.94
Animal Science,2016-11,40963.08
Animal Science,2016-12,32780.21
Animal Science,2017-01,28150.51
Animal Science,2017-02,30523.65
Animal Science,2017-03,26072.25
Animal Science,2017-04,40979.74
Animal Science,2017-05,117341.9
Animal Science,2017-06,47418.01
Animal Science,2017-07,19657.53
Animal Science,2017-08,52722.58
Animal Science,2017-09,32883.46
Animal Science,2017-10,39816.8
Animal Science,2017-11,32563.74
Animal Science,2017-12,31742.13
Animal Science,2018-01,32785.01
Animal Science,2018-02,35030.28
Animal Science,2018-03,42810.72
Animal Science,2018-04,37071.95
Animal Science,2018-05,36776.61
Animal Science,2018-06,41463.19
Animal Science,2018-07,33191.53
Animal Science,2018-08,29988.66
Animal Science,2018-09,40004.87
Animal Science,2018-10,34621.41
Animal Science,2018-11,35526.11
Animal Science,2018-12,42936.25
Animal Science,2019-01,56150.37
Animal Science,2019-02,41268.18
Animal Science,2019-03,4463.14
Animal Science,2019-04,61382.48
Animal Science,2019-05,-35385.2
Animal Science,2019-06,42729.02
Animal Science,2019-07,48201.07
Animal Science,2019-08,60642.12
Animal Science,2019-09,41991.7
Animal Science,2019-10,27234.57
Animal Science,2019-11,-41382.84
Animal Science,2019-12,27344.71
Animal Science,2020-01,-43638.73
Animal Science,2020-02,35372.18
Animal Science,2020-03,21563.74
Animal Science,2020-04,20150.06
Animal Science,2020-05,-4974.02
Animal Science,2020-06,22943.15
Animal Science,2020-07,20482.7
Animal Science,2020-08,27602.56
Animal Science,2020-09,20381.56
Animal Science,2020-10,38280.24
Animal Science,2020-11,23417.16
Animal Science,2020-12,21547.94
Animal Science,2021-01,26847.14
Animal Science,2021-02,22891.45
Animal Science,2021-03,30795.7
Animal Science,2021-04,34045.72
Animal Science,2021-05,38220.56
Animal Science,2021-06,27518.77
Animal Science,2021-07,24862.63
Animal Science,2021-08,34117.56
Animal Science,2021-09,26476.36
Animal Science,2021-10,32112.56
Animal Science,2021-11,25494.22
Animal Science,2021-12,32023.54
Animal Science,2022-01,34948.93
Animal Science,2022-02,28265.29
Animal Science,2022-03,28570.64
Animal Science,2022-04,23536.86
Animal Science,2022-05,27319.71
Animal Science,2022-06,44127.53
Animal Science,2022-07,42944.69
Animal Science,2022-08,38037.84
Animal Science,2022-09,33804.58
Animal Science,2022-10,29395.08
Animal Science,2022-11,31206.57
Animal Science,2022-12,25009.38
Animal Science,2023-01,30838.98
Animal Science,2023-02,27188.51
Animal Science,2023-03,23917.95
Animal Science,2023-04,25004.26
Animal Science,2023-05,23370.09
Animal Science,2023-06,55167.29
Animal Science,2023-07,17138.09
Animal Science,2023-08,46023.32
Animal Science,2023-09,16548.04
Animal Science,2023-10,17727.84
Animal Science,2023-11,15917.26
Animal Science,2023-12,17624.59
Animal Science,2024-01,26171.47
Animal Science,2024-02,18656
Animal Science,2024-03,49674.88
Animal Science,2024-04,29543.22
Animal Science,2024-05,36629.04
Animal Science,2024-06,50661.86
Animal Science,2024-07,52343.08
Animal Science,2024-08,62233.3
Animal Science,2024-09,43062.69
Animal Science,2024-10,48913.1
Animal Science,2024-11,35569.09
Animal Science,2024-12,25502.46
Animal Science,2025-01,38967.51
Animal Science,2025-02,35557.41
Animal Science,2025-03,31251.83
Animal Science,2025-04,43937.06
Animal Science,2025-05,29682.51
Animal Science,2025-06,407.64
Anthropology,2012-07,120.58
Anthropology,2012-09,270.59
Anthropology,2012-10,78.05
Anthropology,2012-11,1013.58
Anthropology,2012-12,562.9
Anthropology,2013-01,411.16
Anthropology,2013-02,59.14
Anthropology,2013-03,70.45
Anthropology,2013-04,18.42
Anthropology,2013-05,201.8
Anthropology,2013-06,5172.92
Anthropology,2013-07,6155.52
Anthropology,2013-08,6255.31
Anthropology,2013-09,3134.99
Anthropology,2013-10,982.03
Anthropology,2013-11,767.87
Anthropology,2013-12,596.02
Anthropology,2014-01,322.55
Anthropology,2014-02,832.37
Anthropology,2014-03,720.39
Anthropology,2014-04,866.2
Anthropology,2014-05,2101.59
Anthropology,2014-06,5479.15
Anthropology,2014-07,6576.7
Anthropology,2014-08,6188.6
Anthropology,2014-09,3918.56
Anthropology,2014-10,4988.88
Anthropology,2014-11,5564.82
Anthropology,2014-12,4694.88
Anthropology,2015-01,4704.59
Anthropology,2015-02,5346.45
Anthropology,2015-03,5700.5
Anthropology,2015-04,6205.09
Anthropology,2015-05,5262.39
Anthropology,2015-06,10762.23
Anthropology,2015-07,28215.47
Anthropology,2015-08,7377.84
Anthropology,2015-09,8159.96
Anthropology,2015-10,7639.67
Anthropology,2015-11,12955.74
Anthropology,2015-12,11818.59
Anthropology,2016-01,12548.87
Anthropology,2016-02,17896.62
Anthropology,2016-03,9323.17
Anthropology,2016-04,13518.29
Anthropology,2016-05,9526.31
Anthropology,2016-06,15376.35
Anthropology,2016-07,15066.25
Anthropology,2016-08,18476.71
Anthropology,2016-09,10197.71
Anthropology,2016-10,9934.75
Anthropology,2016-11,9954.49
Anthropology,2016-12,10536.4
Anthropology,2017-01,15437.79
Anthropology,2017-02,12530.54
Anthropology,2017-03,13565.15
Anthropology,2017-04,12322.39
Anthropology,2017-05,15967.67
Anthropology,2017-06,23338.64
Anthropology,2017-07,14862.59
Anthropology,2017-08,11362.05
Anthropology,2017-09,11914.43
Anthropology,2017-10,9691.15
Anthropology,2017-11,8063.76
Anthropology,2017-12,13841.01
Anthropology,2018-01,6947.59
Anthropology,2018-02,9010.81
Anthropology,2018-03,7368.02
Anthropology,2018-04,8013.41
Anthropology,2018-05,7689.85
Anthropology,2018-06,9536.43
Anthropology,2018-07,6131.71
Anthropology,2018-08,16633.11
Anthropology,2018-09,7388.42
Anthropology,2018-10,6717.03
Anthropology,2018-11,9374.55
Anthropology,2018-12,6909.76
Anthropology,2019-01,6832.16
Anthropology,2019-02,8006.16
Anthropology,2019-03,7312.27
Anthropology,2019-04,8645.01
Anthropology,2019-05,9529.62
Anthropology,2019-06,13417.98
Anthropology,2019-07,11059.31
Anthropology,2019-08,9300.71
Anthropology,2019-09,6374.82
Anthropology,2019-10,6389.67
Anthropology,2019-11,5449.11
Anthropology,2019-12,5207.89
Anthropology,2020-01,6236.2
Anthropology,2020-02,7273.44
Anthropology,2020-03,6286.98
Anthropology,2020-04,19121.63
Anthropology,2020-05,7398.03
Anthropology,2020-06,8672.25
Anthropology,2020-07,8639.91
Anthropology,2020-08,8449.92
Anthropology,2020-09,9084.04
Anthropology,2020-10,8683.05
Anthropology,2020-11,3946.28
Anthropology,2020-12,4440.84
Anthropology,2021-01,3451.94
Anthropology,2021-02,3476.84
Anthropology,2021-03,3615.96
Anthropology,2021-04,4909.12
Anthropology,2021-05,12015.59
Anthropology,2021-06,45411.42
Anthropology,2021-07,22047.7
Anthropology,2021-08,13948.27
Anthropology,2021-09,17012.61
Anthropology,2021-10,12614.06
Anthropology,2021-11,6068.78
Anthropology,2021-12,1668.13
Anthropology,2022-01,5545.85
Anthropology,2022-02,4360.86
Anthropology,2022-03,4311.92
Anthropology,2022-04,5206.4
Anthropology,2022-05,13595.08
Anthropology,2022-06,7824.44
Anthropology,2022-07,13335.79
Anthropology,2022-08,24529.02
Anthropology,2022-09,7783.14
Anthropology,2022-10,7785.09
Anthropology,2022-11,7370.85
Anthropology,2022-12,3690.43
Anthropology,2023-01,4229.6
Anthropology,2023-02,2454.14
Anthropology,2023-03,2042.16
Anthropology,2023-04,10165.16
Anthropology,2023-05,7917.84
Anthropology,2023-06,8363.21
Anthropology,2023-07,7016.79
Anthropology,2023-08,8782.15
Anthropology,2023-09,6100.92
Anthropology,2023-10,3973.45
Anthropology,2023-11,5219.27
Anthropology,2023-12,5830.25
Anthropology,2024-01,4956.14
Anthropology,2024-02,6517.9
Anthropology,2024-03,4017.13
Anthropology,2024-04,3145.43
Anthropology,2024-05,7082.12
Anthropology,2024-06,6586.82
Anthropology,2024-07,26217.45
Anthropology,2024-08,9693.42
Anthropology,2024-09,15302.83
Anthropology,2024-10,5058.1
Anthropology,2024-11,9289.89
Anthropology,2024-12,4220.34
Anthropology,2025-01,9703.11
Anthropology,2025-02,4792.66
Anthropology,2025-03,8432.38
Anthropology,2025-04,3917.52
Anthropology,2025-05,5008.47
Atmospheric Science,2012-10,1102.04
Atmospheric Science,2012-11,3442.35
Atmospheric Science,2012-12,375.33
Atmospheric Science,2013-01,3084.81
Atmospheric Science,2013-02,5602.02
Atmospheric Science,2013-03,8895.63
Atmospheric Science,2013-04,2672.05
Atmospheric Science,2013-05,3800.86
Atmospheric Science,2013-06,6991.48
Atmospheric Science,2013-07,4895.42
Atmospheric Science,2013-08,3447.43
Atmospheric Science,2013-09,20743.55
Atmospheric Science,2013-10,2223.76
Atmospheric Science,2013-11,3390.97
Atmospheric Science,2013-12,11921.53
Atmospheric Science,2014-01,11531.06
Atmospheric Science,2014-02,19445.35
Atmospheric Science,2014-03,19628.67
Atmospheric Science,2014-04,14190.51
Atmospheric Science,2014-05,34607.73
Atmospheric Science,2014-06,30065.23
Atmospheric Science,2014-07,21732.65
Atmospheric Science,2014-08,18937.02
Atmospheric Science,2014-09,15691
Atmospheric Science,2014-10,64133.29
Atmospheric Science,2014-11,49088.12
Atmospheric Science,2014-12,87783.97
Atmospheric Science,2015-01,54496.23
Atmospheric Science,2015-02,69055.25
Atmospheric Science,2015-03,35934.77
Atmospheric Science,2015-04,100089.87
Atmospheric Science,2015-05,48074.39
Atmospheric Science,2015-06,142178.31
Atmospheric Science,2015-07,37297.16
Atmospheric Science,2015-08,38325.55
Atmospheric Science,2015-09,53866.2
Atmospheric Science,2015-10,140450.62
Atmospheric Science,2015-11,66304.09
Atmospheric Science,2015-12,32484.94
Atmospheric Science,2016-01,102027.14
Atmospheric Science,2016-02,94932.51
Atmospheric Science,2016-03,79357.93
Atmospheric Science,2016-04,55504.1
Atmospheric Science,2016-05,103227.75
Atmospheric Science,2016-06,103566.34
Atmospheric Science,2016-07,65594.65
Atmospheric Science,2016-08,97552.24
Atmospheric Science,2016-09,51970
Atmospheric Science,2016-10,99895.21
Atmospheric Science,2016-11,136455.52
Atmospheric Science,2016-12,36629.94
Atmospheric Science,2017-01,102599.18
Atmospheric Science,2017-02,54647.58
Atmospheric Science,2017-03,113439.04
Atmospheric Science,2017-04,148963.13
Atmospheric Science,2017-05,81869.99
Atmospheric Science,2017-06,129985.27
Atmospheric Science,2017-07,65231.15
Atmospheric Science,2017-08,123247.57
Atmospheric Science,2017-09,82318.16
Atmospheric Science,2017-10,64260.44
Atmospheric Science,2017-11,97904.18
Atmospheric Science,2017-12,87926.6
Atmospheric Science,2018-01,58391.52
Atmospheric Science,2018-02,79828.89
Atmospheric Science,2018-03,67893.77
Atmospheric Science,2018-04,76599.79
Atmospheric Science,2018-05,91601.41
Atmospheric Science,2018-06,96112.51
Atmospheric Science,2018-07,89613.92
Atmospheric Science,2018-08,131565.4
Atmospheric Science,2018-09,197821.77
Atmospheric Science,2018-10,82549.81
Atmospheric Science,2018-11,71182.01
Atmospheric Science,2018-12,90594.34
Atmospheric Science,2019-01,64030.03
Atmospheric Science,2019-02,61329.49
Atmospheric Science,2019-03,94323.06
Atmospheric Science,2019-04,81462.66
Atmospheric Science,2019-05,92800.68
Atmospheric Science,2019-06,104506.62
Atmospheric Science,2019-07,129587.67
Atmospheric Science,2019-08,97369.45
Atmospheric Science,2019-09,82535.45
Atmospheric Science,2019-10,53364.62
Atmospheric Science,2019-11,63067.07
Atmospheric Science,2019-12,60025.42
Atmospheric Science,2020-01,77604.36
Atmospheric Science,2020-02,93121.02
Atmospheric Science,2020-03,51833.59
Atmospheric Science,2020-04,76956.97
Atmospheric Science,2020-05,73099.94
Atmospheric Science,2020-06,143554.79
