"Project Organization","Expenditure Month Year","Total Expenditure Amount"
"Student Educational Opportunity","2025-03",16474.6
"Student Educational Opportunity","2025-04",17667.44
"Student Educational Opportunity","2025-05",16119.03
"Student Educational Opportunity","2025-06",15.65
"Technology Transfer Office","2024-02",498.45
"Technology Transfer Office","2024-03",91314.02
"Technology Transfer Office","2024-04",612.17
"Technology Transfer Office","2024-05",1122.32
"Technology Transfer Office","2024-06",1122.32
"Technology Transfer Office","2024-07",2813
"Technology Transfer Office","2024-08",2729.94
"Technology Transfer Office","2024-09",2729.94
"Technology Transfer Office","2024-10",3267.85
"Technology Transfer Office","2024-11",2760.99
"Technology Transfer Office","2024-12",4977.72
"Technology Transfer Office","2025-01",5212.43
"Technology Transfer Office","2025-02",4443.4
"Technology Transfer Office","2025-03",8001.05
"Technology Transfer Office","2025-04",10590.98
"Technology Transfer Office","2025-05",12818.41
"Telehealth","2023-09",0
"UW Extension","2021-07",22520.79
"UW Extension","2021-08",23533.26
"UW Extension","2021-09",34161.64
"UW Extension","2021-10",24146.32
"UW Extension","2021-11",26263.67
"UW Extension","2021-12",25035.87
"UW Extension","2022-01",23108.47
"UW Extension","2022-02",27435.68
"UW Extension","2022-03",13937.62
"UW Extension","2022-04",26188.39
"UW Extension","2022-05",24126.15
"UW Extension","2022-06",31948.48
"UW Extension","2022-07",29930.74
"UW Extension","2022-08",25154.88
"UW Extension","2022-09",36558.77
"UW Extension","2022-10",24624.89
"UW Extension","2022-11",27339.91
"UW Extension","2022-12",32550.99
"UW Extension","2023-01",34389.65
"UW Extension","2023-02",29810.48
"UW Extension","2023-03",29209.96
"UW Extension","2023-04",28318.59
"UW Extension","2023-05",26685.1
"UW Extension","2023-06",26531.78
"UW Extension","2023-07",35765.16
"UW Extension","2023-08",27794.06
"UW Extension","2023-09",33864.2
"UW Extension","2023-10",26244.5
"UW Extension","2023-11",27713.96
"UW Extension","2023-12",28117.16
"UW Extension","2024-01",28203.33
"UW Extension","2024-02",36633.55
"UW Extension","2024-03",28498.65
"UW Extension","2024-04",26966.93
"UW Extension","2024-05",33591.31
"UW Extension","2024-06",30044.85
"UW Extension","2024-07",25447.78
"UW Extension","2024-08",25166.85
"UW Extension","2024-09",33065.99
"UW Extension","2024-10",29165.99
"UW Extension","2024-11",24505.3
"UW Extension","2024-12",24800.93
"UW Extension","2025-01",20621.2
"UW Extension","2025-02",24584.9
"UW Extension","2025-03",19742.65
"UW Extension","2025-04",20003.19
"UW Extension","2025-05",19245.63
"UW Extension","2025-06",119.48
"UWSOP Distance Education","2025-05",6
"UWSOP Distance Education","2025-06",1665.8
"University Art Museum","2022-11",1601.2
"University Art Museum","2023-04",54.96
"University Art Museum","2023-05",388.3
"University Art Museum","2023-06",1196.8
"University Art Museum","2023-07",50.65
"University Art Museum","2023-08",1033.43
"University Art Museum","2023-10",1350
"University Art Museum","2023-11",310.35
"University Art Museum","2023-12",464.32
"VP for Administration Office","2022-09",-0.19
"VP for Research & Economic Development Office","2021-07",660.52
"VP for Research & Economic Development Office","2021-08",605.98
"VP for Research & Economic Development Office","2022-01",5892.73
"VP for Research & Economic Development Office","2022-02",14364.27
"VP for Research & Economic Development Office","2022-03",40814.21
"VP for Research & Economic Development Office","2022-04",117725.7
"VP for Research & Economic Development Office","2022-05",62302.73
"VP for Research & Economic Development Office","2022-06",71148.71
"VP for Research & Economic Development Office","2022-07",97866.1
"VP for Research & Economic Development Office","2022-08",123153.67
"VP for Research & Economic Development Office","2022-09",100164.65
"VP for Research & Economic Development Office","2022-10",72666.58
"VP for Research & Economic Development Office","2022-11",71906.87
"VP for Research & Economic Development Office","2022-12",73309.22
"VP for Research & Economic Development Office","2023-01",81130.12
"VP for Research & Economic Development Office","2023-02",106306.08
"VP for Research & Economic Development Office","2023-03",86111.08
"VP for Research & Economic Development Office","2023-04",117110.6
"VP for Research & Economic Development Office","2023-05",115320.34
"VP for Research & Economic Development Office","2023-06",97800.51
"VP for Research & Economic Development Office","2023-07",32109.26
"VP for Research & Economic Development Office","2023-08",29883.75
"VP for Research & Economic Development Office","2023-09",24872.03
"VP for Research & Economic Development Office","2023-10",74904.83
"VP for Research & Economic Development Office","2023-11",44190.67
"VP for Research & Economic Development Office","2023-12",17686.28
"VP for Research & Economic Development Office","2024-01",23835.7
"VP for Research & Economic Development Office","2024-02",31481.37
"VP for Research & Economic Development Office","2024-03",33159.82
"VP for Research & Economic Development Office","2024-04",46966.94
"VP for Research & Economic Development Office","2024-05",45793.65
"VP for Research & Economic Development Office","2024-06",100055.6
"VP for Research & Economic Development Office","2024-07",55682.73
"VP for Research & Economic Development Office","2024-08",27870.16
"VP for Research & Economic Development Office","2024-09",44638.93
"VP for Research & Economic Development Office","2024-10",25002.03
"VP for Research & Economic Development Office","2024-11",40815.83
"VP for Research & Economic Development Office","2024-12",29895.51
"VP for Research & Economic Development Office","2025-01",16669.1
"VP for Research & Economic Development Office","2025-02",21600.57
"VP for Research & Economic Development Office","2025-03",29460.32
"VP for Research & Economic Development Office","2025-04",37629.77
"VP for Research & Economic Development Office","2025-05",49040.85
"VP for Research & Economic Development Office","2025-06",3085.4
"VP of Global Engagement","2021-07",13504.44
"VP of Global Engagement","2021-08",605.76
"VP of Global Engagement","2022-09",780.33
"VP of Global Engagement","2022-10",479.72
"VP of Global Engagement","2022-11",4742.84
"VP of Global Engagement","2022-12",622.92
"VP of Global Engagement","2023-01",4503
"VP of Global Engagement","2023-02",1262.25
"VP of Global Engagement","2023-03",479.72
"VP of Global Engagement","2023-04",479.72
"VP of Global Engagement","2023-05",479.72
"VP of Global Engagement","2023-09",7059.94
"VP of Global Engagement","2023-10",1879.98
"VP of Global Engagement","2023-11",493.22
"VP of Global Engagement","2023-12",493.22
"VP of Global Engagement","2024-04",4104.48
"VP of Global Engagement","2024-06",4104.48
"VP of Global Engagement","2024-07",328.68
"VP of Global Engagement","2024-08",17
"VP of Global Engagement","2024-09",833.4
"Veterinary Science","2021-07",6230.22
"Veterinary Science","2021-08",4792.75
"Veterinary Science","2021-09",2996.44
"Veterinary Science","2021-10",4862.25
"Veterinary Science","2021-11",1955.09
"Veterinary Science","2021-12",2046.27
"Veterinary Science","2022-01",3177.42
"Veterinary Science","2022-02",2454.51
"Veterinary Science","2022-03",2465.99
"Veterinary Science","2022-04",2929.71
"Veterinary Science","2022-05",927.7
"Veterinary Science","2022-06",1110.94
"Veterinary Science","2022-09",441.91
"Veterinary Science","2022-10",728.02
"Veterinary Science","2022-11",586.82
"Veterinary Science","2022-12",307.13
"Veterinary Science","2023-01",8553.66
"Veterinary Science","2023-02",4815.73
"Veterinary Science","2023-03",5860.86
"Veterinary Science","2023-04",2117.62
"Veterinary Science","2023-05",1073.77
"Veterinary Science","2023-06",1646.16
"Veterinary Science","2023-07",6751.92
"Veterinary Science","2023-08",5929.62
"Veterinary Science","2023-09",7709.18
"Veterinary Science","2023-10",2656.31
"Veterinary Science","2023-11",877.42
"Veterinary Science","2023-12",2338.29
"Veterinary Science","2024-01",5800.7
"Veterinary Science","2024-02",33967.79
"Veterinary Science","2024-03",3492.44
"Veterinary Science","2024-04",2805.32
"Veterinary Science","2024-05",5236.37
"Veterinary Science","2024-06",12117.71
"Veterinary Science","2024-07",21047.83
"Veterinary Science","2024-08",14975.36
"Veterinary Science","2024-09",10955.58
"Veterinary Science","2024-10",10200.24
"Veterinary Science","2024-11",6473.24
"Veterinary Science","2024-12",11785.79
"Veterinary Science","2025-01",10082.18
"Veterinary Science","2025-02",10609.29
"Veterinary Science","2025-03",11798.65
"Veterinary Science","2025-04",16104.64
"Veterinary Science","2025-05",13123.84
"Veterinary Science","2025-06",54.94
"WORTH","2023-07",61.67
"WORTH","2023-08",61.67
"WORTH","2023-09",655.51
"WORTH","2023-10",457.56
"WORTH","2023-11",5444.5
"WORTH","2023-12",1208.17
"WORTH","2024-01",2076.21
"WORTH","2024-02",1780.18
"WORTH","2024-03",387.13
"WORTH","2024-04",387.13
"WORTH","2024-05",22615.09
"WORTH","2024-06",5600
"WORTH","2024-07",0
"WWAMI Medical Education Program","2021-07",803.93
"WWAMI Medical Education Program","2021-08",1882.96
"WWAMI Medical Education Program","2021-09",2455.2
"WWAMI Medical Education Program","2021-10",1034.89
"WWAMI Medical Education Program","2021-11",984.01
"WWAMI Medical Education Program","2021-12",2450.82
"WWAMI Medical Education Program","2022-01",1404.65
"WWAMI Medical Education Program","2022-02",1334.39
"WWAMI Medical Education Program","2022-03",1367.92
"WWAMI Medical Education Program","2022-04",1824.06
"WWAMI Medical Education Program","2022-05",3172.09
"WWAMI Medical Education Program","2022-06",2494.4
"WWAMI Medical Education Program","2022-07",1666.93
"WWAMI Medical Education Program","2022-08",1560.03
"WWAMI Medical Education Program","2022-09",1567.07
"WWAMI Medical Education Program","2022-10",736.16
"WWAMI Medical Education Program","2022-11",1006.77
"WWAMI Medical Education Program","2022-12",697.12
"WWAMI Medical Education Program","2023-01",541.8
"WWAMI Medical Education Program","2023-02",534.19
"WWAMI Medical Education Program","2023-03",508.55
"WWAMI Medical Education Program","2023-04",113.6
"WWAMI Medical Education Program","2023-05",41.92
"WWAMI Medical Education Program","2023-06",55.65
"WWAMI Medical Education Program","2023-07",50.33
"WWAMI Medical Education Program","2023-08",18.99
"WWAMI Medical Education Program","2023-09",39.45
"WWAMI Medical Education Program","2023-10",23.7
"WWAMI Medical Education Program","2023-11",14.05
"WWAMI Medical Education Program","2023-12",10.49
"WWAMI Medical Education Program","2024-01",12.03
"Wyo Natural Diversity Database","2021-07",15700.65
"Wyo Natural Diversity Database","2021-08",14534.13
"Wyo Natural Diversity Database","2021-09",15883.95
"Wyo Natural Diversity Database","2021-10",8447.51
"Wyo Natural Diversity Database","2021-11",8414.15
"Wyo Natural Diversity Database","2021-12",13028.49
"Wyo Natural Diversity Database","2022-01",5168.73
"Wyo Natural Diversity Database","2022-02",6007.52
"Wyo Natural Diversity Database","2022-03",6849.12
"Wyo Natural Diversity Database","2022-04",11330.18
"Wyo Natural Diversity Database","2022-05",10727.24
"Wyo Natural Diversity Database","2022-06",9681.93
"Wyo Natural Diversity Database","2022-07",15368.81
"Wyo Natural Diversity Database","2022-08",16260.9
"Wyo Natural Diversity Database","2022-09",11571.98
"Wyo Natural Diversity Database","2022-10",8613.36
"Wyo Natural Diversity Database","2022-11",10142.05
"Wyo Natural Diversity Database","2022-12",6716.9
"Wyo Natural Diversity Database","2023-01",7462.86
"Wyo Natural Diversity Database","2023-02",12201.08
"Wyo Natural Diversity Database","2023-03",9936.99
"Wyo Natural Diversity Database","2023-04",13734.35
"Wyo Natural Diversity Database","2023-05",20066.67
"Wyo Natural Diversity Database","2023-06",22455.18
"Wyo Natural Diversity Database","2023-07",23817.93
"Wyo Natural Diversity Database","2023-08",26552
"Wyo Natural Diversity Database","2023-09",18594.09
"Wyo Natural Diversity Database","2023-10",16843.02
"Wyo Natural Diversity Database","2023-11",12488.92
"Wyo Natural Diversity Database","2023-12",9994.69
"Wyo Natural Diversity Database","2024-01",12878.28
"Wyo Natural Diversity Database","2024-02",11901.26
"Wyo Natural Diversity Database","2024-03",11520.81
"Wyo Natural Diversity Database","2024-04",16386.2
"Wyo Natural Diversity Database","2024-05",21992.44
"Wyo Natural Diversity Database","2024-06",33590.27
"Wyo Natural Diversity Database","2024-07",32253.38
"Wyo Natural Diversity Database","2024-08",33100.29
"Wyo Natural Diversity Database","2024-09",25980.38
"Wyo Natural Diversity Database","2024-10",15452.52
"Wyo Natural Diversity Database","2024-11",13627.73
"Wyo Natural Diversity Database","2024-12",12938.92
"Wyo Natural Diversity Database","2025-01",16654.69
"Wyo Natural Diversity Database","2025-02",16106.14
"Wyo Natural Diversity Database","2025-03",15461.68
"Wyo Natural Diversity Database","2025-04",16732.97
"Wyo Natural Diversity Database","2025-05",17306.28
"Wyo Natural Diversity Database","2025-06",450.51
"Wyoming Coop Unit","2021-07",10753.08
"Wyoming Coop Unit","2021-08",10096.28
"Wyoming Coop Unit","2021-09",10640.46
"Wyoming Coop Unit","2021-10",10513.52
"Wyoming Coop Unit","2021-11",26249.78
"Wyoming Coop Unit","2021-12",15110.55
"Wyoming Coop Unit","2022-01",12319.65
"Wyoming Coop Unit","2022-02",28431.37
"Wyoming Coop Unit","2022-03",21247.59
"Wyoming Coop Unit","2022-04",12378.48
"Wyoming Coop Unit","2022-05",11912.04
"Wyoming Coop Unit","2022-06",14371.97
"Wyoming Coop Unit","2022-07",20967.91
"Wyoming Coop Unit","2022-08",17106.98
"Wyoming Coop Unit","2022-09",15809.19
"Wyoming Coop Unit","2022-10",13586.35
"Wyoming Coop Unit","2022-11",15703.15
"Wyoming Coop Unit","2022-12",20697.92
"Wyoming Coop Unit","2023-01",12378.9
"Wyoming Coop Unit","2023-02",12766.77
"Wyoming Coop Unit","2023-03",16384.19
"Wyoming Coop Unit","2023-04",21023.27
"Wyoming Coop Unit","2023-05",12146.79
"Wyoming Coop Unit","2023-06",13563.27
"Wyoming Coop Unit","2023-07",22134.97
"Wyoming Coop Unit","2023-08",20761.46
"Wyoming Coop Unit","2023-09",15701.04
"Wyoming Coop Unit","2023-10",12382.24
"Wyoming Coop Unit","2023-11",11698.81
"Wyoming Coop Unit","2023-12",25713.62
"Wyoming Coop Unit","2024-01",21982.78
"Wyoming Coop Unit","2024-02",15049.1
"Wyoming Coop Unit","2024-03",26219.66
"Wyoming Coop Unit","2024-04",16229.52
"Wyoming Coop Unit","2024-05",15012.04
"Wyoming Coop Unit","2024-06",15784.62
"Wyoming Coop Unit","2024-07",19055.19
"Wyoming Coop Unit","2024-08",13784.36
"Wyoming Coop Unit","2024-09",18801.4
"Wyoming Coop Unit","2024-10",18388.26
"Wyoming Coop Unit","2024-11",14991.05
"Wyoming Coop Unit","2024-12",20759.54
"Wyoming Coop Unit","2025-01",37123.77
"Wyoming Coop Unit","2025-02",14896.97
"Wyoming Coop Unit","2025-03",20000.65
"Wyoming Coop Unit","2025-04",23263
"Wyoming Coop Unit","2025-05",20150.12
"Wyoming Coop Unit","2025-06",84.75
"Wyoming Geographic Information Science Center","2021-07",9415.61
"Wyoming Geographic Information Science Center","2021-08",6960.36
"Wyoming Geographic Information Science Center","2021-09",9922.04
"Wyoming Geographic Information Science Center","2021-10",10908.47
"Wyoming Geographic Information Science Center","2021-11",10641
"Wyoming Geographic Information Science Center","2021-12",13712.95
"Wyoming Geographic Information Science Center","2022-01",8764.28
"Wyoming Geographic Information Science Center","2022-02",7998.7
"Wyoming Geographic Information Science Center","2022-03",8228.87
"Wyoming Geographic Information Science Center","2022-04",9604.75
"Wyoming Geographic Information Science Center","2022-05",8943.68
"Wyoming Geographic Information Science Center","2022-06",11798.01
"Wyoming Geographic Information Science Center","2022-07",12463.04
"Wyoming Geographic Information Science Center","2022-08",4808.42
"Wyoming Geographic Information Science Center","2022-09",4920.65
"Wyoming Geographic Information Science Center","2022-10",4430.41
"Wyoming Geographic Information Science Center","2022-11",2308.6
"Wyoming Geographic Information Science Center","2022-12",4239.35
"Wyoming Geographic Information Science Center","2023-01",3176.68
"Wyoming Geographic Information Science Center","2023-02",4456.54
"Wyoming Geographic Information Science Center","2023-03",3390.98
"Wyoming Geographic Information Science Center","2023-04",3426.95
"Wyoming Geographic Information Science Center","2023-05",3723.33
"Wyoming Geographic Information Science Center","2023-06",4388.99
"Wyoming Geographic Information Science Center","2023-07",3554.59
"Wyoming Geographic Information Science Center","2023-08",6682.66
"Wyoming Geographic Information Science Center","2023-09",6134.09
"Wyoming Geographic Information Science Center","2023-10",4194.05
"Wyoming Geographic Information Science Center","2023-11",4720.62
"Wyoming Geographic Information Science Center","2023-12",4447.63
"Wyoming Geographic Information Science Center","2024-01",4630.38
"Wyoming Geographic Information Science Center","2024-02",3131.11
"Wyoming Geographic Information Science Center","2024-03",3035.23
"Wyoming Geographic Information Science Center","2024-04",5070.2
"Wyoming Geographic Information Science Center","2024-05",6347.08
"Wyoming Geographic Information Science Center","2024-06",7587.4
"Wyoming Geographic Information Science Center","2024-07",4305.55
"Wyoming Geographic Information Science Center","2024-08",3331.58
"Wyoming Geographic Information Science Center","2024-09",2482.93
"Wyoming Geographic Information Science Center","2024-10",2177.94
"Wyoming Geographic Information Science Center","2024-11",1322.55
"Wyoming Geographic Information Science Center","2024-12",1320.21
"Wyoming Geographic Information Science Center","2025-01",2511.62
"Wyoming Geographic Information Science Center","2025-02",1804.49
"Wyoming Geographic Information Science Center","2025-03",2264.2
"Wyoming Geographic Information Science Center","2025-04",3492.99
"Wyoming Geographic Information Science Center","2025-05",5703.61
"Wyoming Institute for Disabilities WIND","2021-07",24897.06
"Wyoming Institute for Disabilities WIND","2021-08",19251.36
"Wyoming Institute for Disabilities WIND","2021-09",46315.92
"Wyoming Institute for Disabilities WIND","2021-10",20074.63
"Wyoming Institute for Disabilities WIND","2021-11",19308.48
"Wyoming Institute for Disabilities WIND","2021-12",19588.46
"Wyoming Institute for Disabilities WIND","2022-01",18882.17
"Wyoming Institute for Disabilities WIND","2022-02",27201.7
"Wyoming Institute for Disabilities WIND","2022-03",24252.02
"Wyoming Institute for Disabilities WIND","2022-04",25902.38
"Wyoming Institute for Disabilities WIND","2022-05",22441.8
"Wyoming Institute for Disabilities WIND","2022-06",22130.73
"Wyoming Institute for Disabilities WIND","2022-07",21775.31
"Wyoming Institute for Disabilities WIND","2022-08",23130.62
"Wyoming Institute for Disabilities WIND","2022-09",35718.99
"Wyoming Institute for Disabilities WIND","2022-10",22254.16
"Wyoming Institute for Disabilities WIND","2022-11",28406.81
"Wyoming Institute for Disabilities WIND","2022-12",19191.87
"Wyoming Institute for Disabilities WIND","2023-01",20606.56
"Wyoming Institute for Disabilities WIND","2023-02",19790.6
"Wyoming Institute for Disabilities WIND","2023-03",21737.35
"Wyoming Institute for Disabilities WIND","2023-04",22670.13
"Wyoming Institute for Disabilities WIND","2023-05",23596.46
"Wyoming Institute for Disabilities WIND","2023-06",29232.64
"Wyoming Institute for Disabilities WIND","2023-07",28879.45
"Wyoming Institute for Disabilities WIND","2023-08",22006.62
"Wyoming Institute for Disabilities WIND","2023-09",25789.03
"Wyoming Institute for Disabilities WIND","2023-10",17838.86
"Wyoming Institute for Disabilities WIND","2023-11",19308.71
"Wyoming Institute for Disabilities WIND","2023-12",19880.9
"Wyoming Institute for Disabilities WIND","2024-01",17337.33
"Wyoming Institute for Disabilities WIND","2024-02",17824.24
"Wyoming Institute for Disabilities WIND","2024-03",18691.99
"Wyoming Institute for Disabilities WIND","2024-04",17381.14
"Wyoming Institute for Disabilities WIND","2024-05",28705
"Wyoming Institute for Disabilities WIND","2024-06",20211.2
"Wyoming Institute for Disabilities WIND","2024-07",20563.16
"Wyoming Institute for Disabilities WIND","2024-08",19150.97
"Wyoming Institute for Disabilities WIND","2024-09",20397.01
"Wyoming Institute for Disabilities WIND","2024-10",19323.35
"Wyoming Institute for Disabilities WIND","2024-11",22821.25
"Wyoming Institute for Disabilities WIND","2024-12",21846.37
"Wyoming Institute for Disabilities WIND","2025-01",24286.14
"Wyoming Institute for Disabilities WIND","2025-02",29978.45
"Wyoming Institute for Disabilities WIND","2025-03",27577.55
"Wyoming Institute for Disabilities WIND","2025-04",24457.93
"Wyoming Institute for Disabilities WIND","2025-05",25564.62
"Wyoming Institute for Disabilities WIND","2025-06",12.92
"Wyoming Public Media","2022-10",51.49
"Wyoming Public Media","2022-12",-0.41
"Wyoming Public Media","2023-12",495.75
"Wyoming Public Media","2024-01",663.66
"Wyoming Public Media","2024-02",663.66
"Wyoming Public Media","2024-03",663.66
"Wyoming Public Media","2024-04",663.66
"Wyoming Public Media","2024-07",339.42
"Wyoming Public Media","2024-08",339.42
"Wyoming Public Media","2024-09",321.21
"Wyoming Public Media","2024-10",284.8
"Wyoming Public Media","2024-11",321.21
"Wyoming Public Media","2024-12",321.21
"Wyoming Public Media","2025-01",321.21
"Wyoming Public Media","2025-02",299.37
"Wyoming Public Media","2025-03",299.37
"Wyoming Public Media","2025-04",299.37
"Wyoming Public Media","2025-05",299.37
"Wyoming State Veterinary Laboratory","2021-07",3401.82
"Wyoming State Veterinary Laboratory","2021-08",6462.01
"Wyoming State Veterinary Laboratory","2021-09",587.48
"Wyoming State Veterinary Laboratory","2021-10",587.48
"Wyoming State Veterinary Laboratory","2021-11",664.98
"Wyoming State Veterinary Laboratory","2021-12",589.98
"Wyoming State Veterinary Laboratory","2022-01",589.98
"Wyoming State Veterinary Laboratory","2022-02",589.98
"Wyoming State Veterinary Laboratory","2022-03",589.98
"Wyoming State Veterinary Laboratory","2022-04",1264.53
"Wyoming State Veterinary Laboratory","2022-05",2453.07
"Wyoming State Veterinary Laboratory","2022-06",7130.26
"Wyoming State Veterinary Laboratory","2022-07",2298.65
"Wyoming State Veterinary Laboratory","2022-08",1385.86
"Wyoming State Veterinary Laboratory","2022-09",655.85
"Wyoming State Veterinary Laboratory","2022-10",655.85
"Wyoming State Veterinary Laboratory","2022-11",1112.35
"Wyoming State Veterinary Laboratory","2022-12",1325.38
"Wyoming State Veterinary Laboratory","2023-01",1325.38
"Wyoming State Veterinary Laboratory","2023-02",1325.38
"Wyoming State Veterinary Laboratory","2023-03",1329.88
"Wyoming State Veterinary Laboratory","2023-04",1325.38
"Wyoming State Veterinary Laboratory","2023-05",1606.06
"Wyoming State Veterinary Laboratory","2023-06",1376.68
"Wyoming State Veterinary Laboratory","2023-07",1409.1
"Wyoming State Veterinary Laboratory","2023-08",1581.26
"Wyoming State Veterinary Laboratory","2023-09",738.08
"Wyoming State Veterinary Laboratory","2023-10",714.06
"Wyoming State Veterinary Laboratory","2023-11",968.09
"Wyoming State Veterinary Laboratory","2023-12",369.13
"Wyoming State Veterinary Laboratory","2024-01",373.31
"Wyoming State Veterinary Laboratory","2024-02",127.66
"Wyoming State Veterinary Laboratory","2024-03",286.87
"Wyoming State Veterinary Laboratory","2024-04",1548
"Wyoming State Veterinary Laboratory","2024-05",6681.39
"Wyoming State Veterinary Laboratory","2024-07",599.92
"Wyoming State Veterinary Laboratory","2024-08",0.33
"Wyoming State Veterinary Laboratory","2024-09",128.09
"Wyoming State Veterinary Laboratory","2024-10",3567.29
"Wyoming State Veterinary Laboratory","2024-11",1240.51
"Wyoming State Veterinary Laboratory","2024-12",15261.25
"Wyoming State Veterinary Laboratory","2025-01",2042.25
"Wyoming State Veterinary Laboratory","2025-02",1601.87
"Wyoming State Veterinary Laboratory","2025-03",22338.75
"Wyoming State Veterinary Laboratory","2025-04",21020.8
"Wyoming State Veterinary Laboratory","2025-05",6271.26
"Wyoming Survey & Analysis Center","2021-07",57566.76
"Wyoming Survey & Analysis Center","2021-08",146288.36
"Wyoming Survey & Analysis Center","2021-09",60579.06
"Wyoming Survey & Analysis Center","2021-10",51454.36
"Wyoming Survey & Analysis Center","2021-11",124854.51
"Wyoming Survey & Analysis Center","2021-12",51921.1
"Wyoming Survey & Analysis Center","2022-01",58649.29
"Wyoming Survey & Analysis Center","2022-02",55221.6
"Wyoming Survey & Analysis Center","2022-03",62310.79
"Wyoming Survey & Analysis Center","2022-04",57138.21
"Wyoming Survey & Analysis Center","2022-05",80188.9
"Wyoming Survey & Analysis Center","2022-06",99416.69
"Wyoming Survey & Analysis Center","2022-07",58363
"Wyoming Survey & Analysis Center","2022-08",50017.89
"Wyoming Survey & Analysis Center","2022-09",56516.26
"Wyoming Survey & Analysis Center","2022-10",59593.75
"Wyoming Survey & Analysis Center","2022-11",72925.18
"Wyoming Survey & Analysis Center","2022-12",48505.37
"Wyoming Survey & Analysis Center","2023-01",59287.34
"Wyoming Survey & Analysis Center","2023-02",55755.35
"Wyoming Survey & Analysis Center","2023-03",51617.2
"Wyoming Survey & Analysis Center","2023-04",61421.23
"Wyoming Survey & Analysis Center","2023-05",49834.41
"Wyoming Survey & Analysis Center","2023-06",137879.44
"Wyoming Survey & Analysis Center","2023-07",44752.23
"Wyoming Survey & Analysis Center","2023-08",50787.43
"Wyoming Survey & Analysis Center","2023-09",63210.9
"Wyoming Survey & Analysis Center","2023-10",154989.02
"Wyoming Survey & Analysis Center","2023-11",59715.25
"Wyoming Survey & Analysis Center","2023-12",55919.16
"Wyoming Survey & Analysis Center","2024-01",57092.99
"Wyoming Survey & Analysis Center","2024-02",53291.67
"Wyoming Survey & Analysis Center","2024-03",52167.67
"Wyoming Survey & Analysis Center","2024-04",55643.51
"Wyoming Survey & Analysis Center","2024-05",51073.04
"Wyoming Survey & Analysis Center","2024-06",63828.91
"Wyoming Survey & Analysis Center","2024-07",55312.87
"Wyoming Survey & Analysis Center","2024-08",59861.17
"Wyoming Survey & Analysis Center","2024-09",59415.82
"Wyoming Survey & Analysis Center","2024-10",73715.59
"Wyoming Survey & Analysis Center","2024-11",60648.34
"Wyoming Survey & Analysis Center","2024-12",61336.73
"Wyoming Survey & Analysis Center","2025-01",51320.8
"Wyoming Survey & Analysis Center","2025-02",56495.78
"Wyoming Survey & Analysis Center","2025-03",59454.74
"Wyoming Survey & Analysis Center","2025-04",62834.13
"Wyoming Survey & Analysis Center","2025-05",57033.99
"Wyoming Survey & Analysis Center","2025-06",287.75
"Zoology & Physiology","2021-07",158206.74
"Zoology & Physiology","2021-08",84225.03
"Zoology & Physiology","2021-09",80236.63
"Zoology & Physiology","2021-10",71584.62
"Zoology & Physiology","2021-11",63018.22
"Zoology & Physiology","2021-12",68136.33
"Zoology & Physiology","2022-01",63145.41
"Zoology & Physiology","2022-02",81898.75
"Zoology & Physiology","2022-03",82503.15
"Zoology & Physiology","2022-04",71869.54
"Zoology & Physiology","2022-05",122815.21
"Zoology & Physiology","2022-06",212188.04
"Zoology & Physiology","2022-07",196928.81
"Zoology & Physiology","2022-08",111575.32
"Zoology & Physiology","2022-09",79578.51
"Zoology & Physiology","2022-10",101868.23
"Zoology & Physiology","2022-11",69096.84
"Zoology & Physiology","2022-12",63480.98
"Zoology & Physiology","2023-01",61483.55
"Zoology & Physiology","2023-02",62023.44
"Zoology & Physiology","2023-03",84476.03
"Zoology & Physiology","2023-04",104207.63
"Zoology & Physiology","2023-05",96902.73
"Zoology & Physiology","2023-06",174784.32
"Zoology & Physiology","2023-07",129523.83
"Zoology & Physiology","2023-08",101134.41
"Zoology & Physiology","2023-09",122911.59
"Zoology & Physiology","2023-10",115060.29
"Zoology & Physiology","2023-11",98740
"Zoology & Physiology","2023-12",125201.4
"Zoology & Physiology","2024-01",80353.35
"Zoology & Physiology","2024-02",89913.41
"Zoology & Physiology","2024-03",170088.74
"Zoology & Physiology","2024-04",102067.14
"Zoology & Physiology","2024-05",178525.7
"Zoology & Physiology","2024-06",234696.79
"Zoology & Physiology","2024-07",242241.52
"Zoology & Physiology","2024-08",105955.04
"Zoology & Physiology","2024-09",97763.21
"Zoology & Physiology","2024-10",86414.43
"Zoology & Physiology","2024-11",100695.34
"Zoology & Physiology","2024-12",95809.66
"Zoology & Physiology","2025-01",69115.98
"Zoology & Physiology","2025-02",63114.56
"Zoology & Physiology","2025-03",80649.9
"Zoology & Physiology","2025-04",57516.7
"Zoology & Physiology","2025-05",89203.83
"Zoology & Physiology","2025-06",2652.9
